City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
533,Emerald,AU,94.33,broken clouds,-23.5333,148.1667,Emerald Central Hotel
545,Nabire,ID,81.1,overcast clouds,-3.3667,135.4833,Hotel Anggrek
548,Hua Hin,TH,84.22,haze,12.5707,99.9588,Anchan
550,Ler,SS,90.32,clear sky,8.3018,30.1418,Green Hotel
551,Meulaboh,ID,84.78,overcast clouds,4.1363,96.1285,Hotel Meuligou
555,Kloulklubed,PW,82.9,few clouds,7.0419,134.2556,The Adventures Inn
558,Ambilobe,MG,84.6,light rain,-13.2,49.05,Hôtel National
559,Loikaw,MM,90.34,clear sky,19.6742,97.2094,Nawaday Hotel
566,Netrakona,BD,83.05,clear sky,24.8833,90.7167,Shourov Hotel সৌরভ হোটেল
567,Touros,BR,78.01,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
574,Madingou,CG,80.38,scattered clouds,-4.1536,13.55,Résidence Laurel
579,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Prainha
603,Khandbari,NP,75.97,clear sky,27.3747,87.2039,Guesthouse
615,Kochi,IN,89.58,overcast clouds,9.9399,76.2602,Hotel Top Form
621,Kollam,IN,83.21,overcast clouds,8.8833,76.6,Sea Palace
627,Knysna,ZA,75.61,clear sky,-34.0363,23.0471,Graywood Hotel
630,Sibolga,ID,82.74,overcast clouds,1.7427,98.7792,Hotel Prima Indah
641,Sorong,ID,82.92,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
649,Ampanihy,MG,86.23,scattered clouds,-24.7,44.75,Hotel restaurant Angora
656,Tual,ID,83.89,overcast clouds,-5.6667,132.75,Suita
659,Paidha,UG,81.1,few clouds,2.4167,30.9855,Jennifer
663,Kilindoni,TZ,80.8,overcast clouds,-7.9139,39.6668,Ibizza Inn
666,Gold Coast,AU,82.99,scattered clouds,-28.0,153.4333,The Sands Apartments
668,Veraval,IN,81.61,few clouds,20.9,70.3667,Shyam
672,Mareeba,AU,83.12,light rain,-17.0,145.4333,The Gateway Hotel
673,Pedasi,PA,77.56,broken clouds,7.5333,-80.0333,Dim's Hostal
674,Yabelo,ET,75.38,clear sky,4.8833,38.0833,"250birr with slow WiFi,shower,water"
685,Coffs Harbour,AU,82.13,clear sky,-30.3,153.1333,The Coast Hotel
686,Bubaque,GW,76.69,clear sky,11.2833,-15.8333,Chez Julio
689,Montepuez,MZ,78.04,light rain,-13.1256,38.9997,Complexo Messalo
691,Male,MV,85.95,few clouds,4.1748,73.5089,Champa Central Hotel
