City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
112,Yellowknife,CA,62.456,-114.3525,-35.45,67,0,5.75,clear sky
113,Flin Flon,CA,54.7682,-101.865,-20.34,90,100,10.27,overcast clouds
114,Pisco,PE,-13.7,-76.2167,71.65,83,0,10.36,clear sky
115,Porto Franco,BR,-6.3383,-47.3992,71.44,98,100,3.27,overcast clouds
116,Shubarkuduk,KZ,49.1447,56.4872,20.44,78,10,10.02,clear sky
117,Sitka,US,57.0531,-135.33,42.69,61,100,18.41,light rain
118,Chuy,UY,-33.6971,-53.4616,69.33,81,92,5.03,overcast clouds
119,Longyearbyen,SJ,78.2186,15.6401,10.24,67,40,16.11,scattered clouds
120,Paamiut,GL,61.994,-49.6678,17.04,88,100,16.22,snow
121,Salalah,OM,17.0151,54.0924,75.29,53,75,6.91,broken clouds
122,Avarua,CK,-21.2078,-159.775,73.45,94,100,9.22,light rain
123,Crib Point,AU,-38.35,145.2,55.89,92,100,21.16,light rain
124,Roald,NO,62.5833,6.1333,33.75,100,0,9.22,clear sky
125,Vangaindrano,MG,-23.35,47.6,73.63,89,100,4.61,light rain
126,Belfast,GB,54.5833,-5.9333,49.82,87,100,17.27,overcast clouds
127,Manica,FR,49.0,-1.1667,45.86,80,100,6.51,overcast clouds
128,El Tigre,VE,8.8875,-64.2454,68.79,85,0,11.36,clear sky
129,Port Elizabeth,ZA,-33.918,25.5701,77.09,72,0,10.36,clear sky
130,Saskylakh,RU,71.9167,114.0833,-19.03,100,100,5.23,overcast clouds
131,Kapaa,US,22.0752,-159.319,75.52,91,75,9.22,light rain
132,Jacareacanga,BR,-6.2222,-57.7528,71.37,99,100,1.86,overcast clouds
133,Wuwei,CN,37.9281,102.6414,35.91,24,16,1.95,few clouds
134,Port-Gentil,GA,-0.7193,8.7815,78.76,100,40,6.91,scattered clouds
135,Kaitangata,NZ,-46.2817,169.8464,66.07,87,100,0.69,moderate rain
136,Hermanus,ZA,-34.4187,19.2345,70.81,65,5,8.66,clear sky
137,Chivay,PE,-15.6383,-71.6011,47.19,86,100,2.57,overcast clouds
138,Kaduqli,SD,11.0167,29.7167,81.03,12,5,17.9,clear sky
139,Back Mountain,US,41.3359,-75.9963,21.72,83,64,3.22,broken clouds
140,Ixtapa,MX,20.7,-105.2,70.23,87,78,2.77,broken clouds
141,Provideniya,RU,64.3833,-173.3,13.17,94,65,12.24,broken clouds
142,Qaqortoq,GL,60.7167,-46.0333,8.28,93,100,4.79,overcast clouds
143,Oktyabrskiy,RU,54.4815,53.471,19.58,92,84,7.94,broken clouds
144,Mitsamiouli,KM,-11.3847,43.2844,82.02,76,100,4.61,light rain
145,New Norfolk,AU,-42.7826,147.0587,54.91,75,99,4.0,light rain
146,Busselton,AU,-33.65,115.3333,86.5,31,4,3.56,clear sky
147,Maniitsoq,GL,65.4167,-52.9,1.72,78,82,9.19,broken clouds
148,Bredasdorp,ZA,-34.5322,20.0403,73.72,54,10,5.21,clear sky
149,Fortuna,US,40.5982,-124.1573,47.32,64,0,4.61,clear sky
150,Nuuk,GL,64.1835,-51.7216,4.37,77,94,7.74,overcast clouds
151,Bonavista,CA,48.6499,-53.1147,15.73,66,90,13.22,overcast clouds
152,Ustrzyki Dolne,PL,49.4304,22.5938,31.98,100,100,8.3,light snow
153,Juneau,US,58.3019,-134.4197,31.21,91,100,3.44,mist
154,Georgetown,MY,5.4112,100.3354,89.53,68,20,9.22,few clouds
155,Adzope,CI,6.1069,-3.8619,78.55,84,46,2.84,scattered clouds
156,Boende,CD,-0.2167,20.8667,83.66,57,94,4.47,overcast clouds
157,Half Moon Bay,US,37.4636,-122.4286,50.02,63,0,0.0,clear sky
158,Mackay,AU,-21.15,149.2,83.48,84,74,9.6,broken clouds
159,Asosa,ET,10.0667,34.5333,78.98,24,19,8.52,few clouds
160,Westport,US,41.1415,-73.3579,30.74,59,0,1.01,clear sky
161,Pavlovsk,RU,50.4578,40.1081,30.24,93,97,6.15,overcast clouds
162,Geeste,DE,52.6,7.2667,43.32,93,75,4.61,light rain
163,Jalu,LY,29.0331,21.5482,54.9,50,7,5.44,clear sky
164,Navegantes,BR,-26.8989,-48.6542,74.68,93,91,4.09,overcast clouds
165,Vallenar,CL,-28.5708,-70.7581,68.65,58,0,2.19,clear sky
166,Palmer,US,42.1584,-72.3287,21.61,69,40,0.0,scattered clouds
167,Umm Lajj,SA,25.0213,37.2685,68.25,42,4,9.98,clear sky
168,Atambua,ID,-9.1061,124.8925,79.99,77,91,4.59,light rain
169,Strezhevoy,RU,60.7333,77.5889,16.16,96,100,4.61,overcast clouds
170,Surt,LY,31.2089,16.5887,58.14,62,100,1.48,light rain
171,Pevek,RU,69.7008,170.3133,-8.97,98,79,1.7,broken clouds
172,Bengkulu,ID,-3.8004,102.2655,84.7,68,94,13.15,overcast clouds
173,Saint-Pierre,RE,-21.3393,55.4781,87.48,58,75,11.5,broken clouds
174,Leningradskiy,RU,69.3833,178.4167,-11.11,99,85,5.68,overcast clouds
175,Bluff,NZ,-46.6,168.3333,63.55,93,100,8.03,overcast clouds
176,Aden,YE,12.7794,45.0367,76.55,66,45,9.6,scattered clouds
177,Anadyr,RU,64.75,177.4833,25.3,86,40,17.9,light snow
178,Srednekolymsk,RU,67.45,153.6833,-28.97,100,78,6.24,broken clouds
179,Tynset,NO,62.2759,10.7824,11.82,94,72,1.32,broken clouds
180,Erenhot,CN,43.6475,111.9767,20.39,23,100,2.8,overcast clouds
181,Sokolo,ML,14.7328,-6.1219,67.21,11,40,9.57,scattered clouds
182,Soligalich,RU,59.0778,42.2864,25.86,95,100,5.53,overcast clouds
183,Baghdad,IQ,33.3406,44.4009,57.11,54,40,11.5,scattered clouds
184,Havelock,US,34.8791,-76.9013,42.78,87,100,11.5,moderate rain
185,Alofi,NU,-19.0595,-169.9187,80.49,78,100,9.22,overcast clouds
186,Viedma,AR,-40.8135,-62.9967,62.2,85,0,6.96,clear sky
187,Cherskiy,RU,68.75,161.3,-7.91,99,100,2.89,overcast clouds
188,Torbay,CA,47.6666,-52.7314,11.75,86,100,3.44,overcast clouds
189,Sergeyevka,KZ,53.88,67.4158,13.95,89,12,4.74,few clouds
190,Trairi,BR,-3.2778,-39.2689,75.45,92,100,7.92,overcast clouds
191,Bandarbeyla,SO,9.4942,50.8122,77.95,56,19,14.7,few clouds
192,Ballina,AU,-28.8667,153.5667,79.02,87,97,15.23,overcast clouds
193,Bambous Virieux,MU,-20.3428,57.7575,84.45,74,40,5.75,scattered clouds
194,Gomel,BY,52.4345,30.9754,35.58,93,100,13.42,overcast clouds
195,Meadville,US,41.6414,-80.1515,19.78,77,0,5.75,clear sky
196,Port Macquarie,AU,-31.4333,152.9167,78.89,77,6,14.99,clear sky
197,Dingle,PH,10.9995,122.6711,81.91,78,32,13.56,scattered clouds
198,Narsaq,GL,60.9167,-46.05,17.82,96,100,1.3,overcast clouds
199,Shelburne,CA,44.0787,-80.2041,18.59,88,86,12.84,overcast clouds
200,Hithadhoo,MV,-0.6,73.0833,81.46,72,45,18.5,scattered clouds
201,Road Town,VG,18.4167,-64.6167,75.29,74,0,20.74,clear sky
202,Kedrovyy,RU,56.1667,91.8167,5.41,87,22,1.97,few clouds
203,Am Timan,TD,11.0297,20.2827,84.7,14,0,11.03,clear sky
204,Le Mee-Sur-Seine,FR,48.5316,2.6283,43.84,93,100,8.05,overcast clouds
205,Ponta Do Sol,PT,32.6667,-17.1,61.43,61,88,9.93,overcast clouds
206,Qaanaaq,GL,77.484,-69.3632,-4.74,54,3,8.88,clear sky
207,Collie,AU,-33.3667,116.15,89.44,17,0,11.14,clear sky
208,Mayo,US,38.8876,-76.5119,32.95,74,0,1.01,clear sky
209,Tasiilaq,GL,65.6145,-37.6368,23.16,60,100,38.88,overcast clouds
210,Silver City,US,32.7701,-108.2803,39.31,62,0,6.91,clear sky
211,Lima,PE,-12.0432,-77.0282,74.89,82,20,11.5,few clouds
212,Lorengau,PG,-2.0226,147.2712,82.85,75,87,6.62,overcast clouds
213,Ostersund,SE,63.1792,14.6357,10.85,92,100,3.44,overcast clouds
214,Ilulissat,GL,69.2167,-51.1,6.82,51,40,5.75,scattered clouds
215,Airai,TL,-8.9266,125.4092,66.2,90,95,2.82,light rain
216,Davila,PH,18.4726,120.5763,87.78,79,14,24.05,few clouds
217,San Cristobal,VE,7.7669,-72.225,59.58,85,8,1.3,clear sky
218,Mubende,UG,0.5606,31.39,85.48,32,23,2.15,few clouds
219,Lovozero,RU,68.005,35.0117,23.79,96,100,5.39,light snow
220,Pochutla,MX,15.7432,-96.4661,70.83,63,0,3.31,clear sky
221,Sorland,NO,67.667,12.6934,35.46,75,20,11.5,few clouds
222,Cruz,BR,-2.9178,-40.1717,75.76,90,100,9.35,overcast clouds
223,San Rafael,AR,-34.6177,-68.3301,63.86,81,0,1.48,clear sky
224,Mangrol,IN,21.1167,70.1167,80.38,37,6,6.33,clear sky
225,Bintulu,MY,3.1667,113.0333,86.41,66,40,8.05,light rain
226,Waverley,ZA,-25.7023,28.2591,74.53,82,35,4.61,scattered clouds
227,Black River,JM,18.0264,-77.8487,72.03,84,8,6.08,clear sky
228,Porto Nacional,BR,-10.7081,-48.4172,77.0,93,100,1.43,overcast clouds
229,Riyadh,SA,24.6877,46.7219,60.94,43,1,5.41,clear sky
230,Markova,UA,48.6758,24.4138,34.61,73,99,4.92,overcast clouds
231,Sohag,EG,26.557,31.6948,53.89,41,0,10.71,clear sky
232,Totness,SR,5.8833,-56.3167,73.81,88,86,5.61,overcast clouds
233,Udaipura,IN,23.0833,78.5,77.68,13,42,3.36,scattered clouds
234,Dzheguta,RU,43.9671,42.0426,29.8,91,100,4.92,light snow
235,Te Anau,NZ,-45.4167,167.7167,62.76,91,100,0.38,light rain
236,Nanakuli,US,21.3906,-158.1547,76.37,72,0,4.61,clear sky
237,Port Lincoln,AU,-34.7333,135.8667,62.35,57,71,24.96,broken clouds
238,Charlestown,AU,-32.95,151.6667,85.78,44,6,12.55,clear sky
239,Maldonado,UY,-34.6667,-54.9167,70.23,86,99,4.52,overcast clouds
240,Askim,NO,59.5833,11.1629,15.39,94,2,3.44,clear sky
241,Naze,JP,28.3667,129.4833,59.92,66,70,12.93,broken clouds
242,New Port Richey,US,28.2442,-82.7193,67.12,92,1,2.84,clear sky
243,Nicoya,CR,10.1483,-85.452,73.26,77,20,11.81,few clouds
244,Oloron-Sainte-Marie,FR,43.1944,-0.6107,32.74,77,28,3.27,scattered clouds
245,Hasaki,JP,35.7333,140.8333,47.21,39,100,8.28,overcast clouds
246,Tilichiki,RU,60.4667,166.1,1.51,97,90,6.85,overcast clouds
247,Komsomolskiy,UZ,40.4272,71.7189,43.52,49,100,2.3,overcast clouds
248,Vardo,NO,70.3705,31.1107,30.18,69,75,16.11,light snow
249,Buedu,SL,8.2803,-10.3719,68.9,82,6,1.01,clear sky
250,Sao Filipe,CV,14.8961,-24.4956,70.2,73,89,12.57,overcast clouds
251,Saint Anthony,US,45.0205,-93.218,12.13,81,0,6.91,clear sky
252,Wilkie,CA,52.4168,-108.7014,-19.82,78,28,4.05,scattered clouds
253,Champasak,LA,14.75,106.0,94.08,34,9,2.8,clear sky
254,Nogliki,RU,51.8333,143.1667,-9.27,94,100,6.8,overcast clouds
255,Kamenka,RU,51.3223,42.7678,29.7,96,100,9.42,light snow
256,Malibu,US,34.005,-118.8101,57.87,41,3,5.08,clear sky
257,Coahuayana,MX,18.7333,-103.6833,67.87,66,57,4.41,broken clouds
258,Pando,UY,-34.7167,-55.95,73.89,78,75,10.36,broken clouds
259,Hervey Bay,AU,-25.2986,152.8535,80.78,83,51,7.36,light rain
260,Goya,AR,-29.14,-59.2626,74.57,45,4,4.14,clear sky
261,Lexington,US,37.9887,-84.4777,30.09,82,75,0.0,light snow
262,Mahajanga,MG,-15.7167,46.3167,84.22,74,20,8.05,few clouds
263,Foz Do Iguacu,BR,-25.5478,-54.5881,75.99,88,0,3.44,clear sky
264,Naron,ES,43.5167,-8.1528,42.04,86,2,8.61,clear sky
265,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,72.21,96,89,4.14,overcast clouds
266,Korla,CN,41.7597,86.1469,29.64,49,67,3.31,broken clouds
267,Inuvik,CA,68.3499,-133.7218,-24.74,75,40,3.44,scattered clouds
268,Davidson,US,36.1501,-86.7833,33.39,87,100,4.61,snow
269,Progreso,MX,21.2833,-89.6667,71.11,90,1,8.37,clear sky
270,College,US,64.8569,-147.8028,10.8,84,100,6.91,light snow
271,Vernon,CA,50.2581,-119.2691,29.3,88,100,1.14,overcast clouds
272,Bururi,BI,-3.85,29.6333,68.5,65,22,0.83,light rain
273,Athni,IN,16.7333,75.0667,86.23,22,11,16.13,few clouds
274,Udachnyy,RU,66.4167,112.4,-28.28,100,93,4.61,overcast clouds
275,Broome,US,42.2506,-75.833,18.01,73,0,6.91,clear sky
276,Mar Del Plata,AR,-38.0023,-57.5575,70.88,87,100,12.66,overcast clouds
277,Port Blair,IN,11.6667,92.75,84.24,70,40,9.22,scattered clouds
278,Marsh Harbour,BS,26.5412,-77.0636,73.87,73,0,3.33,clear sky
279,Mandeville,JM,18.0417,-77.5071,65.23,88,20,7.11,few clouds
280,Singaraja,ID,-8.112,115.0882,79.09,87,100,6.06,moderate rain
281,Constitucion,CL,-35.3333,-72.4167,59.86,55,0,8.84,clear sky
282,Farafangana,MG,-22.8167,47.8333,76.01,81,100,9.37,light rain
283,Takaungu,KE,-3.6837,39.8566,88.29,61,93,5.39,overcast clouds
284,San Alberto,CO,7.7611,-73.3922,72.39,64,5,2.8,clear sky
285,Karema,TZ,-6.8205,30.4389,77.09,71,2,2.86,clear sky
286,Kavaratti,IN,10.5669,72.642,80.8,73,100,6.96,overcast clouds
287,Rawson,AR,-43.3002,-65.1023,64.6,79,40,15.79,scattered clouds
288,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,84,100,6.91,overcast clouds
289,High Level,CA,58.5169,-117.136,-34.49,74,0,0.0,clear sky
290,Ambatofinandrahana,MG,-20.55,46.8,69.21,75,100,6.33,overcast clouds
291,Gulu,UG,2.7746,32.299,89.82,25,8,4.45,clear sky
292,Hurghada,EG,27.2574,33.8129,60.84,41,0,14.97,clear sky
293,Guerrero Negro,MX,27.9769,-114.0611,55.65,66,0,3.44,clear sky
294,Palu,ID,-0.8917,119.8707,81.01,89,98,3.65,overcast clouds
295,Geraldton,AU,-28.7667,114.6,95.41,28,15,24.16,few clouds
296,Tuatapere,NZ,-46.1333,167.6833,64.8,89,100,0.51,light rain
297,Lithakia,GR,37.7167,20.8333,45.77,100,75,0.0,broken clouds
298,Albury,AU,-36.0833,146.9167,74.01,86,48,7.0,scattered clouds
299,Bonthe,SL,7.5264,-12.505,76.05,86,7,2.84,clear sky
300,Encantado,BR,-29.2361,-51.8697,73.62,92,15,0.65,few clouds
301,El Alto,PE,-4.2714,-81.2147,73.89,80,100,8.41,light rain
302,Valentin Gomez Farias,MX,28.2167,-106.5833,37.56,61,1,9.75,clear sky
303,Karratha,AU,-20.7377,116.8463,91.63,51,7,14.61,clear sky
304,Faanui,PF,-16.4833,-151.75,81.52,77,53,21.16,light rain
305,Ranau,MY,5.9538,116.6641,76.41,89,90,3.2,overcast clouds
306,Dindori,IN,22.95,81.0833,81.12,7,22,6.8,few clouds
307,Inhambane,MZ,-23.865,35.3833,83.46,54,28,7.76,scattered clouds
